"","ForeName","Middle1","Middle2","LastName","Order","PMID","DOI","Journal"
"2257","Sean","J","","Morrison",3,"34535790","10.1038/s41596-021-00605-2","Nature protocols"
"2258","Sebastian","","","Marquardt",8,"34661296","10.15252/embj.2021108903","The EMBO journal"
"2259","Sebastian","","","Preissl",11,"34774128","10.1016/j.cell.2021.10.024","Cell"
"2260","Sebastian","","","Schuck",7,"34617598","10.15252/embj.2021107958","The EMBO journal"
"2261","Sebastian","","","Schuck",7,"34726286","10.15252/embj.2021109149","The EMBO journal"
"2262","Sebastian","","","Strauss",10,"34524703","10.15252/embj.2021107711","The EMBO journal"
"2263","Sebastiano","","","Pasqualato",8,"34605051","10.15252/embj.2021108225","The EMBO journal"
"2264","Sébastien","","","Campagne",2,"34779515","10.15252/embj.2021107640","The EMBO journal"
"2265","Sefer","","","Elezkurtaj",42,"34914922","10.1016/j.cell.2021.11.033","Cell"
"2266","Seiji","","","Okada",7,"34730297","10.15252/msb.202110323","Molecular systems biology"
"2267","Sendurai","A","","Mani",26,"34654908","10.1038/s41580-021-00428-9","Nature reviews. Molecular cell biology"
"2268","Seowon","","","Lee",2,"34918374","10.15252/embj.2021109360","The EMBO journal"
"2269","Sergey","","","Nikolaev",17,"34533226","10.15252/embj.2020104543","The EMBO journal"
"2270","Sergey","A","","Ponomarev",13,"34822785","10.1016/j.cell.2021.11.008","Cell"
"2271","Sergio","","","Couoh-Cardel",3,"34918374","10.15252/embj.2021109360","The EMBO journal"
"2272","Sergio","","","Guerrero-Castillo",1,"34542926","10.15252/embj.2021108648","The EMBO journal"
"2273","Sérgio","A","","Lira",7,"34717799","10.1016/j.cell.2021.10.004","Cell"
"2274","Sergiu","P","","Pașca",2,"34774127","10.1016/j.cell.2021.10.003","Cell"
"2275","Seth","J","","Zost",10,"34715022","10.1016/j.cell.2021.09.035","Cell"
"2276","Setu","M","","Vora",5,"34678144","10.1016/j.cell.2021.09.032","Cell"
"2277","Seung-Jun","","","Yoo",2,"34798069","10.1016/j.cell.2021.10.027","Cell"
"2278","Sew","Y","","Peak-Chew",9,"34842284","10.15252/embj.2021108883","The EMBO journal"
"2279","Seyhan","","","Boyoglu-Barnum",31,"34921774","10.1016/j.cell.2021.12.002","Cell"
"2280","Shahram","","","Shahabi",24,"34822784","10.1016/j.cell.2021.11.001","Cell"
"2281","Shahzina","","","Kanwal",4,"34697467","10.1038/s41596-021-00609-y","Nature protocols"
"2282","Shailendra","","","Kumar Gupta",19,"34939300","10.15252/msb.202110851","Molecular systems biology"
"2283","Shanshan","","","Liu",2,"34459015","10.15252/embj.2020106061","The EMBO journal"
"2284","Shanshan","","","Zhou",11,"34558085","10.15252/embj.2020107277","The EMBO journal"
"2285","Shaowen","","","Jiang",6,"34963055","10.1016/j.cell.2021.12.005","Cell"
"2286","Shari","E","","Watkins",8,"34822781","10.1016/j.cell.2021.10.030","Cell"
"2287","Shashank","","","Srivastava",5,"34786730","10.15252/embj.2021108307","The EMBO journal"
"2288","Shaun","","","Rawson",3,"34861190","10.1016/j.cell.2021.11.011","Cell"
"2289","Shawn","Y","X","Tan",6,"34813726","10.1016/j.cell.2021.10.022","Cell"
"2290","Shawn","Y","X","Tan",6,"34890555","10.1016/j.cell.2021.11.028","Cell"
