FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Steve,Schochet  ,3,1903.05813v1,American Journal of Mathematics,14,M,25-Apr-17,7-Mar-18,Mathematics
Qiangchang,Ju  ,2,1903.05813v1,American Journal of Mathematics,14,M,25-Apr-17,7-Mar-18,Mathematics
Bin,Cheng  ,1,1903.05813v1,American Journal of Mathematics,14,M,25-Apr-17,7-Mar-18,Mathematics
Shaolin,Chen  ,1,1905.01794v3,Acta Mathematica,0,Unk,,1-May-19,Mathematics
Giovanni,S. Alberti ,1,1906.10028v3,American Journal of Mathematics,0,M,8-Dec-20,8-Nov-21,Mathematics
Matteo,Santacesaria  ,2,1906.10028v3,American Journal of Mathematics,0,M,8-Dec-20,8-Nov-21,Mathematics
Yavar,Kian  ,2,1907.02619v1,Acta Mathematica,6,M,30-Mar-19,27-Dec-19,Mathematics
Guanghui,Hu  ,1,1907.02619v1,Acta Mathematica,6,M,30-Mar-19,27-Dec-19,Mathematics
Yue,Zhao  ,3,1907.02619v1,Acta Mathematica,6,M,30-Mar-19,27-Dec-19,Mathematics
Gergely,Kiss  ,1,1907.06586v2,Acta Mathematica,1,M,21-Jul-19,27-Jan-20,Mathematics
Jean-Luc,Marichal  ,2,1907.06586v2,Acta Mathematica,1,M,21-Jul-19,27-Jan-20,Mathematics
Carlo,Sanna  ,1,1909.05188v1,Acta Mathematica,5,M,21-Aug-19,16-Dec-19,Mathematics
Ran,Wang  ,2,1911.02180v1,Acta Mathematica,4,M,31-Jan-19,15-Jan-20,Mathematics
Yutao,Ma  ,1,1911.02180v1,Acta Mathematica,4,F,31-Jan-19,15-Jan-20,Mathematics
Meng,Fai Lim ,2,1912.09023v1,Acta Mathematica,1,M,23-Dec-19,1-Dec-20,Mathematics
Suman,Ahmed  ,1,1912.09023v1,Acta Mathematica,1,M,23-Dec-19,1-Dec-20,Mathematics
Yuri,Trakhinin  ,1,1912.11924v2,American Journal of Mathematics,5,M,26-Dec-19,12-Nov-20,Mathematics
Tao,Wang  ,2,1912.11924v2,American Journal of Mathematics,5,M,26-Dec-19,12-Nov-20,Mathematics
Paolo,Secchi  ,2,1912.13343v3,American Journal of Mathematics,5,M,2-Feb-20,22-May-20,Mathematics
Gui-Qiang,G. Chen ,1,1912.13343v3,American Journal of Mathematics,5,M,2-Feb-20,22-May-20,Mathematics
Tao,Wang  ,3,1912.13343v3,American Journal of Mathematics,5,M,2-Feb-20,22-May-20,Mathematics
Xin-Zhong,Huang  ,2,2002.03099v2,Acta Mathematica,0,Unk,,1-Feb-20,Mathematics
Zhi-Hong,Liu  ,3,2002.03099v2,Acta Mathematica,0,M,,1-Feb-20,Mathematics
Rahim,Kargar  ,4,2002.03099v2,Acta Mathematica,0,M,,1-Feb-20,Mathematics
Zhi-Gang,Wang  ,1,2002.03099v2,Acta Mathematica,0,M,,1-Feb-20,Mathematics
Shimon,Garti  ,1,2002.03573v1,Acta Mathematica,1,M,9-Feb-20,9-Feb-21,Mathematics
Saharon,Shelah  ,2,2002.03573v1,Acta Mathematica,1,M,9-Feb-20,9-Feb-21,Mathematics
Yi-Zheng,Fan  ,2,2002.04415v1,Acta Mathematica,0,M,26-Feb-20,15-Nov-20,Mathematics
Jiang-Chao,Wan  ,3,2002.04415v1,Acta Mathematica,0,M,26-Feb-20,15-Nov-20,Mathematics
Chao,Ding  ,1,2002.04415v1,Acta Mathematica,0,M,26-Feb-20,15-Nov-20,Mathematics
Melvyn,B. Nathanson ,1,2004.02367v3,Acta Mathematica,0,M,21-Apr-20,22-Jul-20,Mathematics
W.,T. Gowers ,1,2004.07598v2,Acta Mathematica,4,M,6-Feb-20,23-Jul-20,Mathematics
Bian,Wu  ,1,2008.05802v2,American Journal of Mathematics,2,M,28-Feb-20,12-Jan-21,Mathematics
Alexander,Dunlap  ,1,2009.04369v2,American Journal of Mathematics,0,M,23-Sep-20,4-Sep-21,Mathematics
Lenya,Ryzhik  ,2,2009.04369v2,American Journal of Mathematics,0,F,23-Sep-20,4-Sep-21,Mathematics
Chengyang,Shao  ,1,2010.10663v6,American Journal of Mathematics,0,M,,20-Oct-20,Mathematics
Dang-Zheng,Liu  ,2,2012.13786v1,Acta Mathematica,0,M,11-Oct-19,4-Nov-20,Mathematics
Peter,J. Forrester ,1,2012.13786v1,Acta Mathematica,0,M,11-Oct-19,4-Nov-20,Mathematics
Symon,Serbenyuk  ,1,2101.08161v2,Acta Mathematica,1,M,10-Jan-21,12-Jun-21,Mathematics
M.,Gregory Forest ,2,2101.09746v2,American Journal of Mathematics,0,M,19-Jan-21,7-Sep-21,Mathematics
Reiner,Lauterbach  ,3,2101.09746v2,American Journal of Mathematics,0,M,19-Jan-21,7-Sep-21,Mathematics
David,Chillingworth  ,1,2101.09746v2,American Journal of Mathematics,0,M,19-Jan-21,7-Sep-21,Mathematics
Claudia,Wulff  ,4,2101.09746v2,American Journal of Mathematics,0,F,19-Jan-21,7-Sep-21,Mathematics
Andrea,Braides  ,1,2106.05857v1,American Journal of Mathematics,27,M,28-Jan-16,20-Oct-16,Mathematics
Marco,Cicalese  ,2,2106.05857v1,American Journal of Mathematics,27,M,28-Jan-16,20-Oct-16,Mathematics
